idServicio;id;nombreSpa;capacidad;horario
9;76;Acrobates pygmaeus;20;COMPLETO
9;77;Nycticorax nycticorax;273;COMPLETO
9;78;Phoca vitulina;130;COMPLETO
9;79;Vulpes vulpes;399;COMPLETO
9;80;Aegypius occipitalis;430;COMPLETO
9;81;Naja haje;255;COMPLETO
9;82;Streptopelia senegalensis;140;DIURNO
9;83;Hystrix cristata;417;COMPLETO
9;84;Eolophus roseicapillus;307;NOCTURNO
9;85;Crocuta crocuta;467;DIURNO
9;86;Chelodina longicollis;392;NOCTURNO
9;87;Pteropus rufus;28;NOCTURNO
9;88;Picoides pubescens;277;COMPLETO
9;89;Ovis ammon;474;DIURNO
9;90;Macropus rufus;474;COMPLETO
9;91;Tayassu pecari;156;DIURNO
9;92;Lorythaixoides concolor;244;NOCTURNO
9;93;Casmerodius albus;91;NOCTURNO
9;94;Pavo cristatus;443;DIURNO
9;95;Diomedea irrorata;187;NOCTURNO
9;96;Corvus brachyrhynchos;463;NOCTURNO
9;97;Felis concolor;149;NOCTURNO
9;98;Antilope cervicapra;148;COMPLETO
9;99;Ardea golieth;302;NOCTURNO
9;100;Microcebus murinus;467;COMPLETO
9;101;Paroaria gularis;500;NOCTURNO
9;102;Colaptes campestroides;279;DIURNO
9;103;Hippotragus niger;208;DIURNO
9;104;Ardea golieth;254;DIURNO
9;105;Anser caerulescens;60;NOCTURNO
9;106;Pelecanus occidentalis;228;DIURNO
9;107;Herpestes javanicus;414;COMPLETO
9;108;Neophoca cinerea;266;DIURNO
9;109;Paroaria gularis;473;DIURNO
9;110;Terathopius ecaudatus;292;NOCTURNO
9;111;Eurocephalus anguitimens;335;COMPLETO
9;112;Coluber constrictor;244;NOCTURNO
9;113;Cervus elaphus;191;COMPLETO
9;114;Nectarinia chalybea;197;NOCTURNO
9;115;Papio cynocephalus;343;DIURNO
9;116;Anathana ellioti;408;NOCTURNO
9;117;Felis serval;61;NOCTURNO
9;118;Coluber constrictor foxii;302;COMPLETO
9;119;Lamprotornis sp.;367;COMPLETO
9;120;Nectarinia chalybea;217;COMPLETO
9;121;Nyctea scandiaca;154;NOCTURNO
9;122;Sus scrofa;341;NOCTURNO
9;123;Bos frontalis;284;NOCTURNO
9;124;Tadorna tadorna;487;COMPLETO
9;125;Oreotragus oreotragus;100;COMPLETO
9;126;Tayassu pecari;334;NOCTURNO
9;127;Gopherus agassizii;231;DIURNO
9;128;Macropus agilis;436;COMPLETO
9;129;Connochaetus taurinus;52;COMPLETO
9;130;Otocyon megalotis;406;COMPLETO
9;131;Spermophilus lateralis;28;DIURNO
9;132;Bos taurus;84;DIURNO
9;133;Odocoileus hemionus;410;COMPLETO
9;134;Didelphis virginiana;232;DIURNO
9;135;Buteo galapagoensis;130;NOCTURNO
9;136;Crotalus cerastes;258;COMPLETO
9;137;Falco mexicanus;19;NOCTURNO
9;138;Oryx gazella callotis;322;COMPLETO
9;139;Dipodomys deserti;189;NOCTURNO
9;140;Nectarinia chalybea;23;NOCTURNO
9;141;Mazama gouazoubira;381;NOCTURNO
9;142;Cygnus atratus;460;DIURNO
9;143;Upupa epops;243;NOCTURNO
9;144;Varanus sp.;320;COMPLETO
9;145;Felis yagouaroundi;301;COMPLETO
9;146;Zenaida galapagoensis;399;DIURNO
9;147;Gabianus pacificus;161;DIURNO
9;148;Funambulus pennati;270;DIURNO
9;149;Trachyphonus vaillantii;146;DIURNO
9;150;Cebus nigrivittatus;130;NOCTURNO
9;151;Canis dingo;133;NOCTURNO
9;152;Platalea leucordia;323;DIURNO
9;153;unavailable;189;NOCTURNO
9;154;Acanthaster planci;281;DIURNO
9;155;Phalaropus fulicarius;170;NOCTURNO
9;156;Tayassu tajacu;378;DIURNO
9;157;Macropus rufus;382;NOCTURNO
9;158;Sarkidornis melanotos;31;COMPLETO
9;159;Choloepus hoffmani;78;NOCTURNO
9;160;Lama glama;6;NOCTURNO
9;161;Panthera leo persica;253;COMPLETO
9;162;Merops nubicus;269;DIURNO
9;163;Phalaropus fulicarius;260;NOCTURNO
9;164;Ara ararauna;264;NOCTURNO
9;165;Isoodon obesulus;262;DIURNO
9;166;Graspus graspus;88;NOCTURNO
9;167;Ovis ammon;64;NOCTURNO
9;168;Alopochen aegyptiacus;188;DIURNO
9;169;Acrantophis madagascariensis;88;NOCTURNO
9;170;Agkistrodon piscivorus;465;COMPLETO
9;171;Upupa epops;314;NOCTURNO
9;172;Tragelaphus strepsiceros;218;DIURNO
9;173;Uraeginthus bengalus;20;NOCTURNO
9;174;Corvus albicollis;120;DIURNO
9;175;Bos taurus;303;COMPLETO
9;176;Upupa epops;266;NOCTURNO
9;177;Carduelis uropygialis;129;COMPLETO
9;178;Pseudocheirus peregrinus;237;DIURNO
9;179;Martes americana;161;NOCTURNO
9;180;Meleagris gallopavo;449;DIURNO
9;181;Irania gutteralis;349;DIURNO
9;182;Axis axis;92;DIURNO
9;183;Pelecans onocratalus;68;NOCTURNO
9;184;Marmota caligata;376;DIURNO
9;185;Francolinus coqui;313;NOCTURNO
9;186;Nectarinia chalybea;191;COMPLETO
9;187;Macropus parryi;358;NOCTURNO
9;188;Pycnonotus barbatus;310;DIURNO
9;189;Nasua nasua;227;COMPLETO
9;190;Ceratotherium simum;360;COMPLETO
9;191;Kobus vardonii vardoni;381;NOCTURNO
9;192;Tayassu pecari;27;NOCTURNO
9;193;unavailable;314;NOCTURNO
9;194;Coluber constrictor foxii;274;NOCTURNO
9;195;Callorhinus ursinus;15;NOCTURNO
9;196;Aonyx capensis;172;DIURNO
9;197;Columba palumbus;313;NOCTURNO
9;198;Colobus guerza;44;NOCTURNO
9;199;Snycerus caffer;329;DIURNO
9;200;Propithecus verreauxi;89;DIURNO
9;201;Ctenophorus ornatus;15;DIURNO
9;202;Ploceus intermedius;390;DIURNO
9;203;Theropithecus gelada;181;NOCTURNO
9;204;Macropus rufus;125;DIURNO
9;205;Mephitis mephitis;63;DIURNO
9;206;Tyto novaehollandiae;265;COMPLETO
9;207;Sciurus vulgaris;409;COMPLETO
9;208;Deroptyus accipitrinus;418;DIURNO
9;209;Felis concolor;86;NOCTURNO
9;210;Thalasseus maximus;8;COMPLETO
9;211;Dacelo novaeguineae;313;COMPLETO
9;212;Fregata magnificans;150;COMPLETO
9;213;Leptoptilus dubius;297;COMPLETO
9;214;Corvus albicollis;451;COMPLETO
9;215;Butorides striatus;428;DIURNO
9;216;Dasyprocta leporina;301;NOCTURNO
9;217;Aegypius tracheliotus;357;NOCTURNO
9;218;Ninox superciliaris;305;COMPLETO
9;219;Ornithorhynchus anatinus;218;DIURNO
9;220;Dusicyon thous;364;COMPLETO
9;221;Sarcorhamphus papa;477;NOCTURNO
9;222;Irania gutteralis;193;NOCTURNO
9;223;Corythornis cristata;228;COMPLETO
9;224;Lamprotornis superbus;260;COMPLETO
9;225;Vulpes cinereoargenteus;384;DIURNO
9;226;Felis concolor;67;NOCTURNO
9;227;Deroptyus accipitrinus;51;DIURNO
9;228;Spheniscus mendiculus;84;DIURNO
9;229;Eudyptula minor;49;COMPLETO
9;230;Chlamydosaurus kingii;460;NOCTURNO
9;231;Diomedea irrorata;178;DIURNO
9;232;Echimys chrysurus;246;DIURNO
9;233;Neotoma sp.;387;COMPLETO
9;234;Alopex lagopus;344;NOCTURNO
9;235;Eudyptula minor;46;DIURNO
9;236;Ardea golieth;14;COMPLETO
9;237;Falco mexicanus;319;NOCTURNO
9;238;Eolophus roseicapillus;80;NOCTURNO
9;239;Himantopus himantopus;166;NOCTURNO
9;240;Libellula quadrimaculata;322;NOCTURNO
9;241;Sagittarius serpentarius;420;NOCTURNO
9;242;Rhea americana;396;NOCTURNO
9;243;Zosterops pallidus;410;DIURNO
9;244;Nucifraga columbiana;399;COMPLETO
9;245;Threskionis aethiopicus;439;NOCTURNO
9;246;Felis concolor;443;NOCTURNO
9;247;Myiarchus tuberculifer;82;COMPLETO
9;248;Phoenicopterus ruber;209;NOCTURNO
9;249;Nyctanassa violacea;481;NOCTURNO
9;250;Canis lupus lycaon;115;NOCTURNO
9;251;Phasianus colchicus;308;DIURNO
9;252;Pycnonotus nigricans;430;NOCTURNO
9;253;Pseudocheirus peregrinus;147;NOCTURNO
9;254;Iguana iguana;195;DIURNO
9;255;Pavo cristatus;12;NOCTURNO
9;256;Acridotheres tristis;250;COMPLETO
9;257;Limnocorax flavirostra;120;DIURNO
9;258;unavailable;333;COMPLETO
9;259;Microcavia australis;477;COMPLETO
9;260;Marmota flaviventris;487;DIURNO
9;261;Trichosurus vulpecula;157;DIURNO
9;262;Phoca vitulina;109;NOCTURNO
9;263;Gazella thompsonii;486;DIURNO
9;264;Macropus rufogriseus;195;COMPLETO
9;265;Ursus maritimus;265;COMPLETO
9;266;Tiliqua scincoides;87;COMPLETO
9;267;Semnopithecus entellus;234;COMPLETO
9;268;Chamaelo sp.;105;NOCTURNO
9;269;Erethizon dorsatum;372;DIURNO
9;270;Lama pacos;177;DIURNO
9;271;Columba livia;450;COMPLETO
9;272;Myotis lucifugus;232;DIURNO
9;273;Columba palumbus;203;NOCTURNO
9;274;Taxidea taxus;31;COMPLETO
9;275;Tetracerus quadricornis;207;NOCTURNO
9;276;Lutra canadensis;120;DIURNO
9;277;Tamiasciurus hudsonicus;76;COMPLETO
9;278;Pteronura brasiliensis;213;DIURNO
9;279;Platalea leucordia;462;NOCTURNO
9;280;Macropus fuliginosus;346;DIURNO
9;281;Dipodomys deserti;240;NOCTURNO
9;282;Terrapene carolina;31;DIURNO
9;283;Hyaena hyaena;21;COMPLETO
9;284;Casmerodius albus;171;COMPLETO
9;285;Bubo sp.;38;COMPLETO
9;286;Tyto novaehollandiae;467;NOCTURNO
9;287;Bucephala clangula;110;COMPLETO
9;288;Cervus canadensis;463;DIURNO
9;289;Varanus komodensis;27;NOCTURNO
9;290;Francolinus coqui;201;DIURNO
9;291;Tiliqua scincoides;464;NOCTURNO
9;292;Semnopithecus entellus;84;DIURNO
9;293;Alopex lagopus;371;COMPLETO
9;294;Aegypius occipitalis;309;COMPLETO
9;295;Anser caerulescens;85;COMPLETO
9;296;Microcebus murinus;466;NOCTURNO
9;297;Felis concolor;158;DIURNO
9;298;Naja haje;424;COMPLETO
9;299;Phalacrocorax brasilianus;113;COMPLETO
9;300;Corvus brachyrhynchos;240;DIURNO
9;301;Ceratotherium simum;408;DIURNO
9;302;Phalaropus lobatus;177;DIURNO
9;303;Zalophus californicus;480;DIURNO
9;304;unavailable;300;DIURNO
9;305;Dipodomys deserti;461;DIURNO
9;306;Ramphastos tucanus;51;DIURNO
9;307;Podargus strigoides;287;DIURNO
9;308;Plectopterus gambensis;329;NOCTURNO
9;309;Canis lupus baileyi;155;NOCTURNO
9;310;Sula nebouxii;126;NOCTURNO
9;311;Macropus eugenii;408;NOCTURNO
9;312;Callorhinus ursinus;248;COMPLETO
9;313;Dasyurus maculatus;196;COMPLETO
9;314;Libellula quadrimaculata;198;COMPLETO
9;315;Buteo galapagoensis;16;COMPLETO
9;316;Stenella coeruleoalba;356;COMPLETO
9;317;Bettongia penicillata;236;COMPLETO
9;318;Hymenolaimus malacorhynchus;230;COMPLETO
9;319;Ephipplorhynchus senegalensis;274;NOCTURNO
9;320;Larus novaehollandiae;123;DIURNO
9;321;Haematopus ater;143;COMPLETO
9;322;Varanus sp.;188;DIURNO
9;323;Lorythaixoides concolor;271;NOCTURNO
9;324;Corvus albicollis;91;DIURNO
9;325;Leptoptilos crumeniferus;33;NOCTURNO
9;326;Corvus albicollis;152;COMPLETO
9;327;Trichosurus vulpecula;36;DIURNO
9;328;Crax sp.;265;NOCTURNO
9;329;Anhinga rufa;26;NOCTURNO
9;330;Eolophus roseicapillus;407;DIURNO
9;331;Microcebus murinus;163;DIURNO
9;332;Axis axis;103;DIURNO
9;333;Paraxerus cepapi;47;COMPLETO
9;334;Bucorvus leadbeateri;61;COMPLETO
9;335;Sus scrofa;61;COMPLETO
9;336;Plegadis falcinellus;261;NOCTURNO
9;337;Centrocercus urophasianus;178;DIURNO
9;338;Ramphastos tucanus;370;DIURNO
9;339;Chlamydosaurus kingii;398;NOCTURNO
9;340;Geochelone elephantopus;434;DIURNO
9;341;Laniarius ferrugineus;362;COMPLETO
9;342;Antilope cervicapra;255;DIURNO
9;343;Ploceus rubiginosus;49;COMPLETO
9;344;Odocoileus hemionus;61;COMPLETO
9;345;Macropus fuliginosus;409;DIURNO
9;346;Agelaius phoeniceus;155;NOCTURNO
9;347;Felis serval;176;NOCTURNO
9;348;Loris tardigratus;362;NOCTURNO
9;349;Rangifer tarandus;177;COMPLETO
9;350;Petaurus norfolcensis;251;NOCTURNO
9;351;Felis libyca;185;NOCTURNO
9;352;Pitangus sulphuratus;427;COMPLETO
9;353;Galictis vittata;380;COMPLETO
9;354;Herpestes javanicus;347;COMPLETO
9;355;Marmota flaviventris;344;DIURNO
9;356;Bucorvus leadbeateri;441;COMPLETO
9;357;Eremophila alpestris;278;DIURNO
9;358;Psophia viridis;296;DIURNO
9;359;Hystrix indica;451;NOCTURNO
9;360;Macaca radiata;266;COMPLETO
9;361;Chordeiles minor;479;COMPLETO
9;362;Paroaria gularis;62;DIURNO
9;363;Antechinus flavipes;176;NOCTURNO
9;364;Gyps bengalensis;377;COMPLETO
9;365;Cercatetus concinnus;144;DIURNO
9;366;Zosterops pallidus;154;DIURNO
9;367;Sarkidornis melanotos;450;DIURNO
9;368;Felis wiedi or Leopardus weidi;451;DIURNO
9;369;Nycticorax nycticorax;199;COMPLETO
9;370;Canis latrans;41;COMPLETO
9;371;Crotalus cerastes;345;NOCTURNO
9;372;Choloepus hoffmani;214;DIURNO
9;373;Myotis lucifugus;178;NOCTURNO
9;374;Myiarchus tuberculifer;325;DIURNO
9;375;Dendrohyrax brucel;77;DIURNO
9;376;Felis silvestris lybica;178;DIURNO
9;377;Hippotragus niger;8;NOCTURNO
9;378;Megaderma spasma;275;NOCTURNO
9;379;Bubo virginianus;433;COMPLETO
9;380;Aonyx capensis;439;DIURNO
9;381;Uraeginthus bengalus;232;COMPLETO
9;382;Chauna torquata;388;COMPLETO
9;383;Phalacrocorax carbo;73;COMPLETO
9;384;Dendrohyrax brucel;323;NOCTURNO
9;385;Motacilla aguimp;348;NOCTURNO
9;386;Tiliqua scincoides;432;COMPLETO
9;387;Phalaropus fulicarius;287;DIURNO
9;388;Cervus canadensis;339;DIURNO
9;389;Erinaceus frontalis;490;NOCTURNO
9;390;Aquila chrysaetos;476;COMPLETO
9;391;Eurocephalus anguitimens;165;DIURNO
9;392;Bucephala clangula;150;DIURNO
9;393;Vulpes chama;279;DIURNO
9;394;Paraxerus cepapi;398;COMPLETO
9;395;Chamaelo sp.;99;DIURNO
9;396;Zonotrichia capensis;168;NOCTURNO
9;397;Lophoaetus occipitalis;75;COMPLETO
9;398;Lepus arcticus;313;NOCTURNO
9;399;Merops bullockoides;187;NOCTURNO
9;400;Zosterops pallidus;277;COMPLETO
9;401;Neophoca cinerea;308;DIURNO
9;402;Mycteria ibis;324;NOCTURNO
9;403;Stercorarius longicausus;148;DIURNO
9;404;Cebus apella;367;DIURNO
9;405;Gymnorhina tibicen;243;NOCTURNO
9;406;Anhinga rufa;383;COMPLETO
9;407;Ursus maritimus;235;COMPLETO
9;408;Trachyphonus vaillantii;301;DIURNO
9;409;Varanus sp.;442;COMPLETO
9;410;Eumetopias jubatus;44;NOCTURNO
9;411;Odocoileus hemionus;191;NOCTURNO
9;412;Nannopterum harrisi;15;COMPLETO
9;413;Propithecus verreauxi;86;COMPLETO
9;414;Macropus agilis;10;NOCTURNO
9;415;Cabassous sp.;309;NOCTURNO
9;416;Psophia viridis;365;NOCTURNO
9;417;Equus burchelli;149;COMPLETO
9;418;Marmota caligata;65;DIURNO
9;419;Lama glama;430;DIURNO
9;420;Dasypus septemcincus;291;DIURNO
9;421;Felis silvestris lybica;9;COMPLETO
9;422;Eunectes sp.;442;COMPLETO
9;423;Cebus apella;312;NOCTURNO
9;424;Estrilda erythronotos;160;DIURNO
9;425;Falco mexicanus;79;NOCTURNO
9;426;Junonia genoveua;228;DIURNO
9;427;Microcebus murinus;347;NOCTURNO
9;428;Mungos mungo;304;COMPLETO
9;429;unavailable;179;DIURNO
9;430;Buteo galapagoensis;499;DIURNO
9;431;Madoqua kirkii;176;COMPLETO
9;432;Phacochoerus aethiopus;225;DIURNO
9;433;Xerus sp.;55;COMPLETO
9;434;Hymenolaimus malacorhynchus;73;DIURNO
9;435;Zenaida asiatica;100;DIURNO
9;436;Capreolus capreolus;357;NOCTURNO
9;437;Larus dominicanus;67;DIURNO
9;438;Snycerus caffer;139;NOCTURNO
9;439;Merops nubicus;275;COMPLETO
9;440;Morelia spilotes variegata;233;COMPLETO
9;441;Aegypius occipitalis;426;NOCTURNO
9;442;Estrilda erythronotos;272;NOCTURNO
9;443;Phalacrocorax brasilianus;280;COMPLETO
9;444;Streptopelia decipiens;468;DIURNO
9;445;Recurvirostra avosetta;389;NOCTURNO
9;446;Paraxerus cepapi;137;COMPLETO
9;447;Erethizon dorsatum;428;COMPLETO
9;448;Crotalus cerastes;237;DIURNO
9;449;Eolophus roseicapillus;173;NOCTURNO
9;450;Capreolus capreolus;316;DIURNO
9;451;Lasiorhinus latifrons;224;NOCTURNO
9;452;Varanus salvator;129;NOCTURNO
9;453;Dusicyon thous;83;DIURNO
9;454;Semnopithecus entellus;281;DIURNO
9;455;Mycteria ibis;210;DIURNO
9;456;Libellula quadrimaculata;98;DIURNO
9;457;Alectura lathami;95;COMPLETO
9;458;Felis concolor;194;DIURNO
9;459;Mazama gouazoubira;195;NOCTURNO
9;460;Phoca vitulina;63;NOCTURNO
9;461;Panthera pardus;180;DIURNO
9;462;Macropus parryi;377;COMPLETO
9;463;Castor fiber;274;DIURNO
9;464;Ephippiorhynchus mycteria;290;DIURNO
9;465;Oreotragus oreotragus;186;COMPLETO
9;466;Antilope cervicapra;177;DIURNO
9;467;Phaethon aethereus;209;DIURNO
9;468;Merops nubicus;25;NOCTURNO
9;469;Coluber constrictor;51;NOCTURNO
9;470;Canis mesomelas;478;COMPLETO
9;471;Zosterops pallidus;28;NOCTURNO
9;472;Chlidonias leucopterus;419;NOCTURNO
9;473;Terrapene carolina;149;NOCTURNO
9;474;Tachybaptus ruficollis;70;NOCTURNO
9;475;Neophoca cinerea;190;NOCTURNO
9;476;Chloephaga melanoptera;459;COMPLETO
9;477;Mirounga leonina;76;DIURNO
9;478;Chlamydosaurus kingii;431;COMPLETO
9;479;Propithecus verreauxi;181;COMPLETO
9;480;Paroaria gularis;211;DIURNO
9;481;Trachyphonus vaillantii;315;DIURNO
9;482;Cracticus nigroagularis;51;DIURNO
9;483;Phascogale calura;321;DIURNO
9;484;Haliaeetus leucoryphus;399;DIURNO
9;485;Petaurus norfolcensis;431;DIURNO
9;486;Mazama americana;78;NOCTURNO
9;487;Sauromalus obesus;460;NOCTURNO
9;488;Papilio canadensis;374;NOCTURNO
9;489;Hymenolaimus malacorhynchus;472;COMPLETO
9;490;Lycaon pictus;181;DIURNO
9;491;Ciconia ciconia;431;COMPLETO
9;492;Sylvicapra grimma;480;DIURNO
9;493;Pteronura brasiliensis;173;NOCTURNO
9;494;Graspus graspus;50;NOCTURNO
9;495;Pycnonotus barbatus;429;NOCTURNO
9;496;Speotyte cuniculata;16;DIURNO
9;497;Felis silvestris lybica;216;NOCTURNO
9;498;Notechis semmiannulatus;227;NOCTURNO
9;499;Cracticus nigroagularis;351;DIURNO
9;500;Giraffe camelopardalis;311;DIURNO
9;501;Creagrus furcatus;32;DIURNO
9;502;Phoenicopterus ruber;299;DIURNO
9;503;Phoca vitulina;475;DIURNO
9;504;Speotyte cuniculata;106;DIURNO
9;505;unavailable;322;DIURNO
9;506;Castor canadensis;496;COMPLETO
9;507;Damaliscus dorcas;401;NOCTURNO
9;508;Corallus hortulanus cooki;245;DIURNO
9;509;Lasiodora parahybana;310;COMPLETO
9;510;Zosterops pallidus;222;NOCTURNO
9;511;Myrmecobius fasciatus;261;DIURNO
9;512;Epicrates cenchria maurus;405;COMPLETO
9;513;Heloderma horridum;491;DIURNO
9;514;Felis concolor;310;NOCTURNO
9;515;Ictalurus furcatus;375;DIURNO
9;516;Alopex lagopus;168;COMPLETO
9;517;Crotalus cerastes;119;DIURNO
9;518;Lama glama;122;NOCTURNO
9;519;Cebus albifrons;495;NOCTURNO
9;520;Crotalus adamanteus;165;DIURNO
9;521;Oxybelis fulgidus;130;DIURNO
9;522;Gazella granti;26;COMPLETO
9;523;Dasypus septemcincus;280;COMPLETO
9;524;Ratufa indica;283;NOCTURNO
9;525;Axis axis;155;NOCTURNO
9;526;Hystrix cristata;123;COMPLETO
9;527;Lepilemur rufescens;181;DIURNO
9;528;Cracticus nigroagularis;448;DIURNO
9;529;Balearica pavonina;484;NOCTURNO
9;530;Ciconia episcopus;54;COMPLETO
9;531;Parus atricapillus;371;NOCTURNO
9;532;Spermophilus lateralis;351;NOCTURNO
9;533;Macaca mulatta;86;DIURNO
9;534;Rhabdomys pumilio;182;COMPLETO
9;535;Geochelone elephantopus;288;NOCTURNO
9;536;Struthio camelus;345;NOCTURNO
9;537;Larus sp.;396;COMPLETO
9;538;Pelecans onocratalus;411;COMPLETO
9;539;Tiliqua scincoides;429;COMPLETO
9;540;Erinaceus frontalis;370;COMPLETO
9;541;Anas bahamensis;115;COMPLETO
9;542;Sarcorhamphus papa;245;COMPLETO
9;543;Tockus erythrorhyncus;394;NOCTURNO
9;544;Phalacrocorax niger;189;DIURNO
9;545;Phalaropus fulicarius;55;DIURNO
9;546;Francolinus coqui;210;COMPLETO
9;547;Oxybelis fulgidus;95;NOCTURNO
9;548;Egretta thula;128;COMPLETO
9;549;Cacatua tenuirostris;68;DIURNO
9;550;Leipoa ocellata;267;COMPLETO
9;551;Anthropoides paradisea;148;NOCTURNO
9;552;Ammospermophilus nelsoni;203;DIURNO
9;553;Carduelis uropygialis;455;COMPLETO
9;554;Larus fuliginosus;437;COMPLETO
9;555;Nectarinia chalybea;437;DIURNO
9;556;Marmota flaviventris;365;NOCTURNO
9;557;Meleagris gallopavo;145;NOCTURNO
9;558;Spermophilus tridecemlineatus;363;DIURNO
9;559;Stenella coeruleoalba;409;DIURNO
9;560;Stenella coeruleoalba;445;COMPLETO
9;561;Alouatta seniculus;217;DIURNO
9;562;Limosa haemastica;407;NOCTURNO
9;563;Isoodon obesulus;291;COMPLETO
9;564;Tachyglossus aculeatus;32;DIURNO
9;565;Epicrates cenchria maurus;249;NOCTURNO
9;566;Eudyptula minor;356;NOCTURNO
9;567;Chlamydosaurus kingii;491;NOCTURNO
9;568;Felis libyca;174;DIURNO
9;569;Cervus elaphus;410;NOCTURNO
9;570;Pseudocheirus peregrinus;436;COMPLETO
9;571;Oreamnos americanus;328;COMPLETO
9;572;Bettongia penicillata;46;NOCTURNO
9;573;Aegypius tracheliotus;211;COMPLETO
9;574;Dicrostonyx groenlandicus;215;NOCTURNO
9;575;Egretta thula;375;COMPLETO
9;576;Morelia spilotes variegata;115;COMPLETO
9;577;Francolinus swainsonii;23;COMPLETO
9;578;Gymnorhina tibicen;331;DIURNO
9;579;Suricata suricatta;297;NOCTURNO
9;580;Bubalus arnee;105;DIURNO
9;581;Macaca nemestrina;273;NOCTURNO
9;582;Scolopax minor;305;DIURNO
9;583;Chordeiles minor;406;DIURNO
9;584;Capreolus capreolus;60;COMPLETO
9;585;Spermophilus richardsonii;351;NOCTURNO
9;586;Equus hemionus;302;COMPLETO
9;587;Buteo jamaicensis;434;DIURNO
9;588;Madoqua kirkii;392;DIURNO
9;589;Amazona sp.;220;NOCTURNO
9;590;Lamprotornis nitens;257;NOCTURNO
9;591;Nucifraga columbiana;155;COMPLETO
9;592;Phalaropus fulicarius;249;NOCTURNO
9;593;Ciconia ciconia;476;DIURNO
9;594;Nyctea scandiaca;188;COMPLETO
9;595;Dolichitus patagonum;34;COMPLETO
9;596;unavailable;379;DIURNO
9;597;Felis pardalis;131;COMPLETO
9;598;Ceryle rudis;77;DIURNO
9;599;Corvus albicollis;442;NOCTURNO
9;600;Lepus townsendii;483;COMPLETO
9;601;Mazama gouazoubira;406;COMPLETO
9;602;Macaca mulatta;102;COMPLETO
9;603;Anas punctata;297;DIURNO
9;604;Varanus albigularis;131;DIURNO
