idFactura;montoTotal;habitacion
133;8262594;67684
134;6623408;74511
135;541622;75517
136;8419491;95692
137;2230701;110570
138;4115541;21465
139;6401006;89907
140;7217799;58212
141;9790397;12151
142;1110012;113003
143;6666411;76954
144;3930661;112981
145;150672;13941
146;9152884;69284
147;9853023;93677
148;3510971;98725
149;7152860;86095
150;6730432;37495
151;8767404;4324
152;7803666;117456
153;8142873;192
154;3923481;73542
155;9004640;46692
156;6557969;25041
157;9792487;90236
158;7841633;69625
159;6279302;8944
160;6969476;56723
161;1225107;783
162;9818573;50303
163;4383729;47332
164;756905;67169
165;1593719;92349
166;9855323;102204
167;7729058;51375
168;8641872;19177
169;1180229;35743
170;5269932;117684
171;77765;31243
172;2259127;33332
173;6328093;12025
174;2327154;75213
175;4517552;67333
176;711474;16702
177;5616528;94941
178;1304915;71314
179;4290902;116387
180;3522644;1567
181;9535616;103402
182;829388;19234
183;8597419;54140
184;3710041;38172
185;4741694;89012
186;5128450;29619
187;1082940;26
188;3921026;8210
189;9730255;117014
190;796277;46249
191;9547211;30283
192;4276919;63447
193;9796318;42291
194;670347;3589
195;800382;47517
196;9541429;97956
197;3043256;24588
198;4346745;81366
199;5979365;118580
200;2058921;54454
201;4110744;99447
202;3862021;40796
203;8202660;51679
204;9415597;74735
205;4111243;46659
206;2065318;8051
207;4042688;10302
208;3593421;60364
209;4927291;102464
210;7007117;79964
211;2257210;46961
212;4861425;108544
213;428075;118342
214;4580432;63139
215;2830822;24564
216;4957673;117699
217;9015026;9986
218;4710251;6512
219;7461590;856
220;6057931;84583
221;3247981;41644
222;8012236;33970
223;702724;13771
224;6053934;8448
225;2540965;561
226;5456336;10387
227;7603005;44410
228;2305579;69424
229;2813724;13881
230;2311502;73325
231;2323533;48948
232;3330521;58787
233;343573;43102
234;1190527;25615
235;4411777;75290
236;3758096;4935
237;327211;57585
238;5571906;39356
239;2447577;44716
240;1183420;17673
241;4059441;27108
242;6648754;111372
243;5824600;35329
244;6559839;53436
245;8536632;3399
246;4845859;90426
247;6173803;43807
248;5779931;39449
249;3415760;117545
250;4122765;63134
251;556439;37440
252;4414953;10128
253;3791042;82970
254;5872957;88128
255;859730;112846
256;2442137;74643
257;749060;99529
258;9112163;17994
259;5377245;37716
260;2988406;42438
261;7430502;28133
262;8187655;51510
263;23870;110744
264;3795176;33802
265;432740;9988
266;3204098;15926
267;8412290;112804
268;298222;5352
269;7943969;15630
270;5764258;46613
271;3337999;118547
272;9482507;86782
273;9773044;91654
274;415211;118095
275;5415317;61193
276;6250375;111453
277;4182521;42190
278;4190294;79170
279;2499723;9176
280;512957;19316
281;3549480;32739
282;6973592;6985
283;201848;117874
284;858092;94228
285;6790115;70881
286;5391766;57758
287;9973460;48263
288;42564;25156
289;1562593;16613
290;878516;46224
291;569048;100876
292;7914201;17511
293;134325;91225
294;2261755;10769
295;4745766;19247
296;6190135;78169
297;637336;12711
298;7130072;56484
299;9700391;58925
300;7521761;18413
301;2075413;62335
302;6745525;86041
303;3155606;91732
304;6376625;117965
305;1730291;6822
306;2336263;85867
307;3194988;67857
308;8247180;41604
309;7908355;110396
310;116133;80441
311;7478773;80460
312;6171430;50247
313;862209;93403
314;5668628;66245
315;1881987;8743
316;1489058;43628
317;260149;74482
318;4009850;72243
319;5933896;98896
320;8833476;49175
321;8188326;22241
322;5820597;104026
323;658476;54426
324;5395278;88504
325;9026182;94242
326;6828465;63472
327;1306508;71838
328;4823071;90050
329;3485352;64695
330;7886092;15923
331;4444308;30160
332;2336960;89561
333;3322739;81944
334;7657906;41328
335;460340;42283
336;3659657;66097
337;2990583;23095
338;5118481;20252
339;6598425;71348
340;3236986;99751
341;2454759;56894
342;7457067;108696
343;6912761;32647
344;9334213;11352
345;544554;13854
346;6773957;83251
347;219741;18969
348;6731725;91436
349;3547784;31524
350;466745;73065
351;4009784;51397
352;9875202;115942
353;8516830;40407
354;6758247;53462
355;8757337;94808
356;7359992;98424
357;2573888;75318
358;6350798;62535
359;1125851;119084
360;7046491;72404
361;403778;74718
362;3068078;84400
363;5340578;49167
364;5929539;45971
365;1438413;34746
366;5311207;81390
367;6272125;72175
368;1845695;96566
369;7517446;23406
370;5804812;91527
371;9362305;114644
372;9366290;21831
373;8619771;118442
374;424157;117114
375;4283091;26601
376;3737891;99304
377;1097473;47358
378;8834088;51944
379;4686485;57305
380;1436397;19667
381;649214;102260
382;4247608;34595
383;7247591;57091
384;2527858;58616
385;8733287;93941
386;692655;64076
387;3469079;4325
388;7834912;53279
389;9667756;47834
390;3407787;14293
391;2287649;36626
392;4041072;22592
393;2717586;36565
394;608423;69733
395;9979462;62834
396;6262959;94539
397;2121603;4822
398;8784479;10878
399;5528631;74382
400;4539230;51063
401;927444;51841
402;7933454;94990
403;6445246;49963
404;5561769;13771
405;6652711;106255
406;9223435;95945
407;3637706;6280
408;9951250;92671
409;9393617;67592
410;3847541;72070
411;8292955;47104
412;7254411;107689
413;5785155;14416
414;597399;14126
415;8085182;18130
416;8240631;76701
417;7575878;47551
418;7417242;54023
419;9300776;52940
420;7446634;87207
421;7542050;46506
422;6439064;19373
423;1764364;114095
424;3843509;110161
425;8589680;54585
426;9428762;64075
427;6531302;70591
428;4072854;17649
429;742092;48831
430;7277286;51377
431;1673039;114146
432;1800471;40478
433;5119866;16631
434;4154095;118768
435;4366108;51079
436;4935296;74276
437;3777674;15692
438;10290;85923
439;6495973;48116
440;847851;14091
441;8348968;71068
442;802780;49158
443;3634841;65197
444;2005912;6743
445;2095902;98594
446;1740346;54680
447;6169006;4249
448;6019598;72494
449;5385351;85529
450;3089041;91832
451;9235242;78900
452;9084623;5638
453;3680732;78931
454;2480230;55975
455;79423;1473
456;8129594;109158
457;2477231;65673
458;9679154;17489
459;5754508;101814
460;1044863;41793
461;2777472;118294
462;9490591;22296
463;43732;78623
464;486256;15208
465;9164232;72219
466;7370757;56398
467;5241299;72494
468;2665379;7341
469;2297080;80383
470;2831523;119519
471;1559074;44592
472;2308287;100636
473;7777267;109807
474;8892716;69017
475;5256701;39209
476;2241062;53157
477;4961594;112633
478;2449102;31071
479;882701;36608
480;3504483;100416
481;5526685;87329
482;3863033;37183
483;5044715;93714
484;359188;95288
485;3637881;68032
486;2263484;101691
487;9585498;85145
488;7870845;62490
489;8942458;118549
490;796629;53971
491;7173181;2855
492;1108851;83937
493;7277080;76169
494;3374282;51023
495;1719147;80326
496;1940705;55498
497;5904265;92170
498;4163204;118522
499;9460502;13460
500;831282;25746
501;422963;84885
502;8527698;17230
503;3436475;1467
504;3314615;90667
505;4626258;73319
506;5551603;42289
507;6812907;66110
508;8934721;80547
509;3853892;87835
510;259475;59799
511;512969;65727
512;5425912;9578
513;1079149;36765
514;7836888;111375
515;6350404;24705
516;7288583;94104
517;6815852;60376
518;8571141;88272
519;5374259;84839
520;5397484;95890
521;5428675;7413
522;466011;36554
523;7601838;2112
524;1469163;104377
525;9614974;38495
526;3799424;23719
527;2169122;115988
528;6983032;49557
529;7969718;53905
530;7600039;76147
531;8030318;107933
532;5672039;76636
533;4348178;86303
534;2340491;10920
535;2321870;17597
536;410704;93937
537;354853;76598
538;8266936;95575
539;8285686;15242
540;9763824;114593
541;3394448;106302
542;7732912;96979
543;1182992;106351
544;440914;92166
545;8330256;6840
546;8158409;104113
547;6566113;66166
548;81796;118598
549;79139;119575
550;4248868;114124
551;301035;68401
552;1928222;61871
553;375102;102419
554;7825129;44420
555;5663105;63956
556;5206730;72750
557;545615;57633
558;8481972;118659
559;2789187;55913
560;923001;4333
561;529681;45608
562;6063680;79139
563;2940333;96909
564;2886300;107096
565;7364170;58201
566;6775211;96152
567;9683293;111988
568;2109536;5275
569;1401844;29109
570;3548144;99553
571;6964662;67505
572;8931525;37515
573;2592056;18469
574;8661798;39799
575;9953750;102391
576;4881489;52351
577;2502564;87036
578;6748233;6750
579;7004852;21760
580;8578441;78007
581;2979122;37606
582;3765524;55969
583;5206646;38338
584;3289239;100334
585;1921527;14470
586;2107984;37203
587;513848;72149
588;6779943;114141
589;9202240;114924
590;7758979;87345
591;9836198;70291
592;238521;20699
593;9230394;111642
594;4512821;90052
595;147306;44059
596;8565500;78721
597;3795701;34957
598;4077038;36787
599;1271359;104909
600;1872126;85624
601;9518808;54718
602;3192066;14348
603;2914181;52438
604;7495128;28337
605;2345381;10803
606;8796598;64391
607;5713026;66275
608;6950549;15079
609;3444114;66697
610;64742;42842
611;9423644;92485
612;4461878;62952
613;9971883;24162
614;7105907;2054
615;4606463;108151
616;4615590;29405
617;4743318;70587
618;3535007;53595
619;6116348;72508
620;8420416;94496
621;8119945;8672
622;2260207;78339
623;8227986;64634
624;6786703;37272
625;2374192;12635
626;4332228;100023
627;9383152;115386
628;8398689;116560
629;8745047;76145
630;3000331;113726
631;5967499;68147
632;9975947;112532
633;2918531;85735
634;700908;68624
635;4792957;47162
636;3898829;3146
637;7225841;16681
638;510544;77279
639;8198572;99392
640;9598203;1165
641;8779874;4678
642;9454537;74925
643;1587481;69012
644;4629545;29333
645;1639468;44762
646;884009;1603
647;8202643;27922
648;4800742;34964
649;1388615;100458
650;1094494;25111
651;584015;55055
652;4689462;28323
653;7486912;77604
654;6874152;56580
655;7634857;56534
656;9068602;109853
657;6854222;82264
658;7174106;62962
659;3793222;110029
660;1034764;77074
661;9012123;14774
662;6321238;42528
663;8798303;75104
664;5563953;104682
665;512600;7892
666;4173212;23362
667;8127620;78511
668;5362861;107584
669;4789920;112163
670;7872663;84770
671;8039440;73798
672;6413417;118424
673;5121548;28073
674;6240846;30169
675;7068782;116183
676;8733646;69326
677;8710758;101180
678;8927635;63123
679;50784;116100
680;6709510;108401
681;9267087;75678
682;7800285;102337
683;2175352;77208
684;1879426;58612
685;6566001;56407
686;6605202;55577
687;9561824;44062
688;4548194;90980
689;2760268;43492
690;7049495;78329
691;7489219;58834
692;9806851;94579
693;9993946;52146
694;1692467;12813
695;2390155;111447
696;832526;89453
697;1016817;101174
698;1077078;41841
699;1555072;42576
700;1721705;40959
701;6235085;96747
702;8613838;54748
703;9986747;88247
704;1442767;95229
705;3277724;114158
706;7917807;7484
707;2635627;23162
708;405039;110139
709;1237189;46863
710;9906835;86041
711;8947084;6695
712;5678534;92934
713;4132816;85042
714;8638773;3144
715;5558262;23810
716;3287543;5949
717;3753785;37358
718;4484251;46894
719;407199;107995
720;8939828;84582
721;4536794;58797
722;3285076;45379
723;5676479;91534
724;9626608;71495
725;7585598;62991
726;7826062;69376
727;8541319;76835
728;8083337;53970
729;6182287;94565
730;7138754;95297
731;9662728;86689
732;1472705;36405
733;6660901;4446
734;1091784;56155
735;4684597;9124
736;5433134;78292
737;585522;5953
738;219245;39785
739;408768;70688
740;8599720;89494
741;4932786;45207
742;7192905;119130
743;7108206;89008
744;2416185;49537
745;6199347;14209
746;340725;39739
747;473610;109287
748;7094663;47710
749;5929229;8513
750;4138986;18627
751;9906538;44841
752;7654119;115901
753;7660036;12246
754;8939550;17552
755;3923625;104631
756;6056515;32296
757;4073416;78897
758;532853;74828
759;4412318;61210
760;5435607;54034
761;9710541;108248
762;4782050;92163
763;3800025;107890
764;7627280;56005
765;1240851;60680
766;2899315;47846
767;4157947;112774
768;1060354;17501
769;4803329;15343
770;4744771;31534
771;8909657;109578
772;1717479;79422
773;5675673;80649
774;9469728;105640
775;5883716;18771
776;6391223;26567
777;8547941;23115
778;6907605;13216
779;8772846;26488
780;6411690;11952
781;3218957;44326
782;9899228;12670
783;420130;96937
784;5887993;16119
785;1711667;118097
786;225976;65549
787;3542424;40220
788;6710963;37715
789;1800247;58581
790;8156217;62081
791;6211069;23208
792;6618133;3256
793;9446922;85436
794;6547960;54354
795;9965655;1759
796;9514325;26906
797;4829962;98894
798;9419937;69637
799;699482;114420
800;6153221;71420
801;41495;13023
802;7672774;21669
803;2736027;55126
804;1774027;41914
805;8088808;6662
806;3414530;53494
807;7253556;78052
808;399609;62230
809;2701309;9989
810;4301946;23390
811;3740875;7520
812;6448551;95928
813;7414003;57072
814;1571738;29900
815;5447363;12034
816;5480355;94983
817;7871993;13219
818;8003462;38756
819;6416195;78568
820;3218755;105835
821;8193580;53857
822;3758154;75054
823;26893;91454
824;7354776;53370
825;2459789;71641
826;8043189;98447
827;5056312;108286
828;4142429;15721
829;3368178;48410
830;3662100;100574
831;2104903;25198
832;3458648;37922
833;1920229;85173
834;2730195;31643
835;1515438;53624
836;9335862;8379
837;8238485;73650
838;9160764;3437
839;4301872;108513
840;9019753;34096
841;6213574;74953
842;7184903;69009
843;2727161;1757
844;2051670;30642
845;4802896;60966
846;4202881;102739
847;8723983;114019
848;2326836;24258
849;9823974;50348
850;4244009;3358
851;3376122;1673
852;1710604;101183
853;5446860;88212
854;3967492;52923
855;1961345;46119
856;1895094;77134
857;9453170;59570
858;7495163;65559
859;8889520;116593
860;9018836;61457
861;9266959;35257
862;6117820;44987
863;8787812;110084
864;1816049;64050
865;596276;13102
866;5464215;25234
867;7271670;37890
868;4880762;4345
869;7934302;84153
870;6566255;97963
871;4064519;60576
872;2423111;72591
873;364855;53626
874;1918569;57447
875;1053677;33660
876;49611;45514
877;8697061;89615
878;3262718;116518
879;3219199;96171
880;8826178;11246
881;9748135;50551
882;920652;111660
883;7478848;113986
884;1169741;50962
885;740088;90098
886;8496616;13749
887;3608081;80455
888;8588313;28378
889;8520957;40260
890;2536704;59424
891;5366182;10002
892;9179066;101896
893;510894;17976
894;4985314;76
895;597722;36848
896;4933617;40533
897;5973234;2047
898;7235518;67478
899;4029528;41937
900;7645765;22884
901;1129140;45033
902;3267011;47696
903;457486;1967
904;9919876;41643
905;1645893;69581
906;850351;25942
907;2401675;93600
908;5863437;80712
909;6140419;85918
910;4214457;54457
911;4106514;83187
912;5510460;84987
913;551700;27275
914;119105;91676
915;3212635;119868
916;2325500;6284
917;2007259;7568
918;3141241;112551
919;3576704;57718
920;9932809;99588
921;2157912;75647
922;6678703;105692
923;1355396;10571
924;6437205;80497
925;7658629;89677
926;8226612;40346
927;7390983;29843
928;8806285;9455
929;630950;114307
930;5844881;89778
931;1958830;114651
932;9778042;18177
933;4112459;17848
934;152796;38666
935;3162416;95673
936;7504796;45253
937;1681139;107803
938;3060987;118037
939;2887628;64858
940;2618802;70469
941;4853775;72417
942;2009881;69850
943;5405441;47983
944;3259959;114897
945;4868115;60085
946;9138808;12463
947;5908929;46057
948;8309021;46563
949;3095847;101724
950;3654303;26737
951;9222579;9894
952;2699220;80174
953;4606043;83368
954;3989799;41742
955;979775;20133
956;9153125;28675
957;2169969;57906
958;2990878;99472
959;9435445;105029
960;8401724;56189
961;2006890;105921
962;1308158;115525
963;9156445;59842
964;8416769;77167
965;4388733;17335
966;391060;13519
967;1902802;92437
968;6775579;60576
969;8333085;60510
970;2896619;103691
971;4723825;116007
972;440541;113510
973;7434526;30916
974;3709311;96144
975;860521;54293
976;4368730;71436
977;6405135;5056
978;2708963;78483
979;3001486;23899
980;2984349;118874
981;2533106;38402
982;845484;8509
983;8250449;37122
984;6157022;64310
985;9276669;22474
986;1678091;85842
987;6345221;109921
988;4712674;89009
989;3966172;88506
990;3716012;109941
991;1955242;85042
992;5554799;77281
993;2952138;96924
994;9170780;115020
995;213554;71011
996;5015194;27980
997;7159766;80889
998;1997759;54349
999;4727738;90184
1000;2543921;105935
1001;9147714;108224
1002;7043700;87341
1003;5404136;30840
1004;906009;51430
1005;2607042;22709
1006;7351303;63418
1007;4150794;52807
1008;7098431;113129
1009;643752;105973
1010;3505780;21821
1011;751437;1277
1012;745969;98601
1013;3272278;106009
1014;7561898;86584
1015;4045295;74722
1016;8996611;76857
1017;521603;66372
1018;2967694;80889
1019;1521112;71576
1020;3656295;118366
1021;1765818;15894
1022;1840613;80281
1023;5207510;33090
1024;506244;2716
1025;6204595;56450
1026;8152346;22910
1027;3082112;26589
1028;4715237;57758
1029;3921178;77069
1030;4543484;99718
1031;5107530;117109
1032;9138508;69720
1033;3922967;34333
1034;9724981;9764
1035;9138339;6943
1036;5804799;79840
1037;4233028;103459
1038;4967297;49377
1039;3574785;71707
1040;4189389;104236
1041;5287288;63458
1042;3735745;30781
1043;6001921;60244
1044;4315884;19873
1045;6311683;60782
1046;8380664;12156
1047;7194013;18774
1048;9979538;8169
1049;2285166;117098
1050;349861;3006
1051;2567242;13576
1052;6404935;52885
1053;6383173;27407
1054;7016645;40111
1055;4929044;96164
1056;6049907;21745
1057;397283;93441
1058;7523696;71058
1059;6423528;64607
1060;3690377;111326
1061;2551624;106768
1062;783693;98526
1063;7926354;36051
1064;5209660;64284
1065;2528619;83767
1066;4969434;25308
1067;9790158;102617
1068;8930970;57443
1069;2307469;11271
1070;7066385;22637
1071;9177040;81107
1072;2764504;8735
1073;9343819;104080
1074;4365661;115895
1075;3342367;20151
1076;8161349;84054
1077;9056174;87084
1078;3980729;59455
1079;5642089;3794
1080;8371434;12784
1081;9737304;72498
1082;4611941;51441
1083;8098040;45615
1084;4761609;108657
1085;5119375;97703
1086;2880188;110557
1087;1694384;35257
1088;1417726;108754
1089;2972591;58157
1090;646090;37345
1091;6890218;51678
1092;3094262;108853
1093;5580022;111020
1094;6849213;41363
1095;6203924;37064
1096;8550669;85410
1097;3323295;87796
1098;1487988;2734
1099;5573048;58480
1100;7443237;32156
1101;4095072;2350
1102;7798092;11843
1103;5520396;2861
1104;9377118;86355
1105;3750420;97910
1106;3354450;75760
1107;1942772;64411
1108;4251190;106913
1109;5650570;69015
1110;2727343;20067
1111;9305152;71736
1112;8540209;1467
1113;79666;4929
1114;9621624;29035
1115;1005114;23263
1116;5200745;83150
1117;456952;65661
1118;9731830;84706
1119;1825219;2121
1120;3989006;14501
1121;2021718;35932
1122;3244161;49301
1123;3837807;31808
1124;4719299;3960
1125;2988874;47024
1126;3889149;27104
1127;732338;73282
1128;1451448;8860
1129;7938896;30782
1130;7941116;64082
1131;3233893;28003
1132;5849053;26445
1133;3314153;54258
1134;8582755;22289
1135;3108985;101016
1136;4921737;1459
1137;5782721;115464
1138;2370591;116183
1139;4518500;77593
1140;9175449;28400
1141;5492621;15139
1142;6999812;111837
1143;1060837;39819
1144;9371911;1561
1145;7321569;48068
1146;6018673;79328
1147;8438679;103519
1148;2482702;96887
1149;5527671;94551
1150;3964141;105767
1151;2811385;39837
1152;8974241;100111
1153;515505;74320
1154;4695833;86819
1155;1559360;59997
1156;8880919;29655
1157;1077155;82698
1158;7542684;46717
1159;5613615;110372
1160;7233115;107380
1161;3440350;111492
1162;2154285;88268
1163;7986820;16636
1164;7844067;16542
1165;6152639;45110
1166;5089289;110547
1167;7444233;103645
1168;7158427;13891
1169;6740711;2549
1170;9644285;66655
1171;7789011;63854
1172;57272;14516
1173;6006422;58533
1174;6344969;2316
1175;4425705;47237
1176;3522674;38384
1177;2933138;55541
1178;6511167;330
1179;8733055;108277
1180;2491757;27744
1181;3168668;74085
1182;9742271;21066
1183;5008052;74712
1184;9448877;81474
1185;5125515;83679
1186;2491450;65769
1187;7847083;67957
1188;9041927;49643
1189;2603009;90293
1190;3485768;88159
1191;4864695;34971
1192;592430;78653
1193;8972490;9296
1194;5968251;94984
1195;2985264;12173
1196;1730401;12361
1197;7728665;42247
1198;2603854;117136
1199;1239038;43411
1200;3306483;18228
1201;8230113;35448
1202;1896342;20394
1203;2454974;49238
1204;6082328;68039
1205;6956566;111025
1206;7335804;50928
1207;9535499;49299
1208;6547249;41215
1209;3782937;114515
1210;1555246;100895
1211;2929253;43742
1212;9318548;102343
1213;7641030;11440
1214;8040841;805
1215;9674144;102736
1216;9861788;78355
1217;5419411;94854
1218;3191073;52237
1219;9480072;70911
1220;3367299;35552
1221;5375045;1857
1222;683439;11042
1223;1397862;31052
1224;2693356;10695
1225;2708924;90897
1226;8622716;212
1227;7833514;93743
1228;8372585;72411
1229;4066954;78628
1230;8656800;41353
1231;6175052;17190
1232;4598572;56135
1233;766474;114101
1234;9033117;27321
1235;8606214;7587
1236;7110757;30806
1237;1343493;46505
1238;1416067;117456
1239;6624890;26521
1240;5857148;85748
1241;9714777;84400
1242;8828501;64041
1243;8727631;100704
1244;2453507;20596
1245;3162492;14681
1246;1605369;43424
1247;3854296;109343
1248;3419841;8135
1249;8827649;9763
1250;4311582;116716
1251;4069088;14886
1252;1860407;102509
1253;9275455;33589
1254;4754390;93774
1255;9520648;7249
1256;7280790;89577
1257;8363509;92659
1258;1325342;112714
1259;5697685;70715
1260;2859636;83453
1261;9312795;91920
1262;2140353;57912
1263;8706095;82787
1264;9551957;85044
1265;8946575;95541
1266;5651861;83330
1267;5987263;25973
1268;1797784;7715
1269;7081060;11673
1270;1388752;79730
1271;3805627;91544
1272;8938642;77510
1273;7525497;70301
1274;2386356;37250
1275;8733143;1520
1276;1406745;99302
1277;6312052;28873
1278;6727644;106089
1279;180250;50022
1280;1258352;55198
1281;9615607;50780
1282;2450791;105045
1283;1699851;77952
1284;6160784;30120
1285;4098557;48993
1286;2701434;96243
1287;4724677;54468
1288;2836330;60627
1289;4973691;49320
1290;3428954;35892
1291;7031400;63979
1292;6160236;108103
1293;4580273;95771
1294;5825528;77535
1295;5161234;106016
1296;3571140;80272
1297;7137713;32630
1298;9319343;87785
1299;3440026;83108
1300;3438363;46370
1301;6270040;64666
1302;3985706;49972
1303;3680460;116680
1304;5062864;27107
1305;2562283;78903
1306;2135731;1771
1307;7148881;56329
1308;1416783;68313
1309;8168572;51602
1310;4011735;59392
1311;6857482;39293
1312;8106591;116312
1313;4947053;14599
1314;3872725;26876
1315;7873101;42604
1316;7256164;116648
1317;9295829;118407
1318;5658284;70357
1319;616542;43289
1320;4800230;82100
1321;3335997;2893
1322;9063491;113520
1323;7700078;32668
1324;2264192;73222
1325;6312987;58377
1326;5718698;62474
1327;5128172;78747
1328;2832606;8879
1329;823294;64207
1330;6266677;79204
1331;6451532;67761
1332;69477;13563
1333;7256181;35675
1334;6934241;37036
1335;7362629;82849
1336;1155301;24652
1337;8685852;56827
1338;182012;83545
1339;559328;110779
1340;2168840;10879
1341;665363;95404
1342;7715345;28465
1343;216447;4208
1344;4531766;102775
1345;7265946;106132
1346;180024;32835
1347;1850399;55298
1348;6574689;77883
1349;7105472;95495
1350;2764611;35855
1351;8889059;28695
1352;2076910;25343
1353;4827335;29931
1354;9424230;9841
1355;6546936;57089
1356;9062165;15337
1357;1337500;17671
1358;5654152;85067
1359;6888557;85822
1360;5621680;54442
1361;3694309;33039
1362;2405743;96078
1363;1827339;46550
1364;684539;14845
1365;7931442;113345
1366;895840;85585
1367;835120;84806
1368;7993366;75163
1369;8320923;75016
1370;7289038;62819
1371;115833;60648
1372;1580416;13733
1373;6164690;116294
1374;6330766;86694
1375;5734073;47848
1376;7913291;8963
1377;4577746;89099
1378;3131650;10417
1379;503401;34414
1380;6718356;105141
1381;1998109;40432
1382;2856674;63430
1383;7517148;35149
1384;9659679;43548
1385;6420693;4783
1386;9259047;57492
1387;9448838;37743
1388;8099677;114923
1389;5848578;111433
1390;5186394;7229
1391;9563184;71897
1392;4588469;106848
1393;1874071;98602
1394;4209634;117399
1395;8833217;68758
1396;2314937;95753
1397;7043297;104008
1398;303978;98254
1399;7839281;90908
1400;6746324;94196
1401;4315635;4690
1402;6680537;100217
1403;2602750;94164
1404;9280502;24997
1405;195962;94415
1406;1798299;70030
1407;5412346;87777
1408;5111845;29503
1409;8578851;69101
1410;1764482;61307
1411;8281887;68208
1412;4254677;80964
1413;3561347;34046
1414;7999576;35815
1415;4985621;98930
1416;9967317;44292
1417;8362002;10728
1418;3167776;15543
1419;4819198;112384
1420;7799785;1515
1421;8028950;114280
1422;3407778;774
1423;2499839;51404
1424;4472676;68613
1425;8723312;58558
1426;5109639;108048
1427;9731186;76046
1428;5529929;70044
1429;197056;31983
1430;8784743;69863
1431;9058389;18115
1432;1965659;35037
1433;3035458;74547
1434;7376035;23486
1435;7037747;85807
1436;2298920;28360
1437;374885;110936
1438;4758619;42812
1439;6765001;54597
1440;2265682;3154
1441;4025509;99992
1442;8243595;14412
1443;5770140;13006
1444;1409447;51135
1445;2577620;43258
1446;6697999;44080
1447;4328396;37577
1448;5222927;113043
1449;7372179;17314
1450;7508304;53678
1451;8352913;107737
1452;3722045;1982
1453;8654466;115611
1454;9592773;32727
1455;9897452;79822
1456;662325;17309
1457;2244748;60371
1458;7590187;71259
1459;6702354;79770
1460;7753357;23049
1461;4512458;95564
1462;3658321;57827
1463;7643548;30224
1464;6484854;72647
1465;8111366;113512
1466;3140851;86573
1467;2652277;84858
1468;7609439;73216
1469;5721182;47234
1470;6186684;111705
1471;1261574;7994
1472;8001998;1078
1473;8402469;93104
1474;8645457;17695
1475;9030879;68700
1476;888251;14055
1477;5920336;82981
1478;6861904;114985
1479;9466576;74925
1480;9180172;21896
1481;9279760;53311
1482;2716126;50740
1483;9947886;40696
1484;4378428;59745
1485;6441000;49879
1486;1872972;53414
1487;5250878;61028
1488;7905310;104545
1489;5989694;118901
1490;1860343;67715
1491;5205370;4742
1492;135157;106225
1493;3083716;6649
1494;8188433;65328
1495;833580;52160
1496;7229086;47275
1497;3910353;16447
1498;232256;71349
1499;6744181;105971
1500;8814438;33092
1501;5301503;91506
1502;8132387;109844
1503;3458220;57851
1504;9739834;110409
1505;9788653;32541
1506;3273296;3468
1507;3825486;56354
1508;8019867;13014
1509;1474759;37389
1510;3753049;14085
1511;8920088;24025
1512;3768964;109975
1513;8588770;54579
1514;9296866;114135
1515;6839206;26702
